t_s,Ia,Ib,Ic,Vdc,theta,enc_angle
1774332908.258468,-0.64000,0.62000,0.01000,23.93000,1.66240,0.00070
1774332908.258468,-0.62000,0.61000,0.00000,23.93000,1.72530,0.00070
1774332908.258468,-0.60000,0.60000,0.00000,23.94000,1.78810,0.00070
1774332908.258468,-0.58000,0.59000,-0.01000,23.94000,1.85090,0.00070
1774332908.258468,-0.54000,0.56000,-0.02000,23.94000,1.91380,0.00070
1774332908.258468,-0.50000,0.53000,-0.02000,23.94000,1.97660,0.00070
1774332908.258468,-0.43000,0.49000,-0.05000,23.94000,2.03940,0.00070
1774332908.295231,-0.33000,0.50000,-0.17000,23.94000,2.10230,0.00070
1774332908.295231,-0.22000,0.50000,-0.28000,23.96000,2.16510,0.00070
1774332908.295231,-0.11000,0.50000,-0.39000,23.96000,2.22790,0.00070
1774332908.295231,-0.06000,0.51000,-0.45000,23.94000,2.29080,0.00070
1774332908.295231,-0.04000,0.54000,-0.49000,23.93000,2.35360,0.00070
1774332908.295231,-0.03000,0.56000,-0.53000,23.94000,2.41640,0.00070
1774332908.295231,-0.02000,0.58000,-0.56000,23.94000,2.47930,0.00070
1774332908.295231,-0.01000,0.60000,-0.59000,23.94000,2.54210,0.00070
1774332908.295231,-0.01000,0.61000,-0.60000,23.94000,2.60490,0.00070
1774332908.295231,-0.01000,0.62000,-0.60000,23.94000,2.66780,0.00070
1774332908.295231,0.00000,0.62000,-0.61000,23.94000,2.73060,0.00070
1774332908.295231,0.00000,0.62000,-0.61000,23.94000,2.79340,0.00070
1774332908.295231,0.00000,0.59000,-0.59000,23.94000,2.85630,0.00070
1774332908.295231,0.00000,0.56000,-0.56000,23.94000,2.91910,0.00070
1774332908.295231,0.00000,0.53000,-0.53000,23.94000,2.98190,0.00070
1774332908.295231,0.02000,0.47000,-0.50000,23.94000,3.04480,0.00070
1774332908.295231,0.08000,0.40000,-0.48000,23.96000,3.10760,0.00070
1774332908.295231,0.18000,0.29000,-0.48000,23.94000,3.17040,0.00070
1774332908.295231,0.26000,0.19000,-0.45000,23.96000,3.23330,0.00070
1774332908.295231,0.33000,0.09000,-0.43000,23.94000,3.29610,0.00070
1774332908.295231,0.36000,0.05000,-0.41000,23.94000,3.35890,0.00070
1774332908.295231,0.37000,0.04000,-0.41000,23.94000,3.42180,0.00070
1774332908.295231,0.38000,0.04000,-0.43000,23.94000,3.48460,0.00070
1774332908.295231,0.41000,0.04000,-0.45000,23.96000,3.54740,0.00070
1774332908.295231,0.46000,0.04000,-0.51000,23.94000,3.61030,0.00070
1774332908.295231,0.49000,0.04000,-0.54000,23.94000,3.67310,0.00070
1774332908.295231,0.53000,0.04000,-0.57000,23.94000,3.73590,0.00070
1774332908.295231,0.54000,0.03000,-0.57000,23.94000,3.79880,0.00070
1774332908.295231,0.55000,0.02000,-0.58000,23.94000,3.86160,0.00070
1774332908.295231,0.55000,0.02000,-0.57000,23.94000,3.92440,0.00070
1774332908.295231,0.55000,0.01000,-0.56000,23.93000,3.98730,0.00070
1774332908.295231,0.55000,0.00000,-0.55000,23.93000,4.05010,0.00070
1774332908.318431,0.52000,0.00000,-0.52000,23.94000,4.11290,0.00070
